Initial error before optimization: 95280764.18454051
Initial error: 9.52808e+07, values: 8000
iter      cost      cost_change    lambda  success iter_time
   0  1.241532e+08   -2.89e+07    1.00e-05     1    5.43e+00
iter      cost      cost_change    lambda  success iter_time
   0  1.240352e+08   -2.88e+07    1.00e-04     1    5.25e+00
iter      cost      cost_change    lambda  success iter_time
   0  1.228648e+08   -2.76e+07    1.00e-03     1    5.46e+00
iter      cost      cost_change    lambda  success iter_time
   0  1.121895e+08   -1.69e+07    1.00e-02     1    5.43e+00
iter      cost      cost_change    lambda  success iter_time
   0  6.485426e+07    3.04e+07    1.00e-01     1    5.30e+00
   1  3.184210e+07    3.30e+07    1.00e-02     1    5.34e+00
   2  6.020031e+06    2.58e+07    1.00e-03     1    5.27e+00
   3  2.692371e+06    3.33e+06    1.00e-04     1    5.28e+00
   4  3.157342e+06   -4.65e+05    1.00e-05     1    5.24e+00
   4  3.157271e+06   -4.65e+05    1.00e-04     1    5.24e+00
   4  3.156565e+06   -4.64e+05    1.00e-03     1    5.27e+00
   4  3.149537e+06   -4.57e+05    1.00e-02     1    5.17e+00
   4  3.082391e+06   -3.90e+05    1.00e-01     1    5.16e+00
   4  2.623730e+06    6.86e+04    1.00e+00     1    5.23e+00
   5  3.377272e+06   -7.54e+05    1.00e-01     1    5.20e+00
   5  2.605723e+06    1.80e+04    1.00e+00     1    5.19e+00
   6  3.807942e+06   -1.20e+06    1.00e-01     1    5.23e+00
   6  2.770929e+06   -1.65e+05    1.00e+00     1    5.34e+00
   6  1.583999e+06    1.02e+06    1.00e+01     1    5.33e+00
   7  2.283715e+06   -7.00e+05    1.00e+00     1    5.32e+00
   7  1.192433e+06    3.92e+05    1.00e+01     1    5.30e+00
   8  2.051125e+06   -8.59e+05    1.00e+00     1    5.26e+00
   8  1.134724e+06    5.77e+04    1.00e+01     1    5.26e+00
   9  2.056366e+06   -9.22e+05    1.00e+00     1    5.21e+00
   9  1.133641e+06    1.08e+03    1.00e+01     1    5.19e+00
  10  2.059699e+06   -9.26e+05    1.00e+00     1    5.20e+00
  10  1.129717e+06    3.92e+03    1.00e+01     1    5.25e+00
  11  2.090309e+06   -9.61e+05    1.00e+00     1    5.25e+00
  11  1.124657e+06    5.06e+03    1.00e+01     1    5.33e+00
  12  2.154969e+06   -1.03e+06    1.00e+00     1    5.38e+00
  12  1.134013e+06   -9.36e+03    1.00e+01     1    5.36e+00
  12  7.811422e+05    3.44e+05    1.00e+02     1    5.35e+00
  13  9.029246e+05   -1.22e+05    1.00e+01     1    5.32e+00
  13  6.491372e+05    1.32e+05    1.00e+02     1    5.34e+00
  14  7.365510e+05   -8.74e+04    1.00e+01     1    5.38e+00
  14  5.990362e+05    5.01e+04    1.00e+02     1    5.31e+00
  15  6.526478e+05   -5.36e+04    1.00e+01     1    5.30e+00
  15  5.685610e+05    3.05e+04    1.00e+02     1    5.27e+00
  16  6.303122e+05   -6.18e+04    1.00e+01     1    5.31e+00
  16  5.558850e+05    1.27e+04    1.00e+02     1    5.28e+00
  17  6.387793e+05   -8.29e+04    1.00e+01     1    5.28e+00
  17  5.536283e+05    2.26e+03    1.00e+02     1    5.33e+00
  18  6.436295e+05   -9.00e+04    1.00e+01     1    5.27e+00
  18  5.550504e+05   -1.42e+03    1.00e+02     1    5.26e+00
  18  5.441113e+05    9.52e+03    1.00e+03     1    5.29e+00
  19  5.379231e+05    6.19e+03    1.00e+02     1    5.28e+00
  20  5.873494e+05   -4.94e+04    1.00e+01     1    5.31e+00
  20  5.361057e+05    1.82e+03    1.00e+02     1    5.33e+00
  21  5.878570e+05   -5.18e+04    1.00e+01     1    5.32e+00
  21  5.345112e+05    1.59e+03    1.00e+02     1    5.32e+00
  22  5.978030e+05   -6.33e+04    1.00e+01     1    5.32e+00
  22  5.373176e+05   -2.81e+03    1.00e+02     1    5.31e+00
  22  5.279486e+05    6.56e+03    1.00e+03     1    5.38e+00
  23  5.262568e+05    1.69e+03    1.00e+02     1    5.59e+00
  24  5.922546e+05   -6.60e+04    1.00e+01     1    5.69e+00
  24  5.356086e+05   -9.35e+03    1.00e+02     1    5.58e+00
  24  5.217168e+05    4.54e+03    1.00e+03     1    5.55e+00
  25  5.236487e+05   -1.93e+03    1.00e+02     1    5.59e+00
  25  5.183902e+05    3.33e+03    1.00e+03     1    5.52e+00
  26  5.138065e+05    4.58e+03    1.00e+02     1    5.57e+00
  27  5.428208e+05   -2.90e+04    1.00e+01     1    5.34e+00
  27  5.161856e+05   -2.38e+03    1.00e+02     1    5.57e+00
  27  5.114736e+05    2.33e+03    1.00e+03     1    5.67e+00
  28  5.071863e+05    4.29e+03    1.00e+02     1    5.64e+00
  29  5.399540e+05   -3.28e+04    1.00e+01     1    5.59e+00
  29  5.130797e+05   -5.89e+03    1.00e+02     1    5.63e+00
  29  5.052344e+05    1.95e+03    1.00e+03     1    5.61e+00
  30  5.079490e+05   -2.71e+03    1.00e+02     1    5.53e+00
  30  5.026954e+05    2.54e+03    1.00e+03     1    5.41e+00
  31  5.030326e+05   -3.37e+02    1.00e+02     1    5.30e+00
  31  4.995640e+05    3.13e+03    1.00e+03     1    5.59e+00
  32  4.984985e+05    1.07e+03    1.00e+02     1    5.66e+00
  33  5.239906e+05   -2.55e+04    1.00e+01     1    5.63e+00
  33  5.070522e+05   -8.55e+03    1.00e+02     1    5.61e+00
  33  4.982707e+05    2.28e+02    1.00e+03     1    5.56e+00
  34  5.017910e+05   -3.52e+03    1.00e+02     1    5.63e+00
  34  4.977564e+05    5.14e+02    1.00e+03     1    5.63e+00
  35  4.961571e+05    1.60e+03    1.00e+02     1    5.66e+00
  36  5.108929e+05   -1.47e+04    1.00e+01     1    5.64e+00
  36  4.984535e+05   -2.30e+03    1.00e+02     1    5.50e+00
  36  4.951535e+05    1.00e+03    1.00e+03     1    5.56e+00
  37  4.950859e+05    6.76e+01    1.00e+02     1    5.68e+00
  38  5.181013e+05   -2.30e+04    1.00e+01     1    5.64e+00
  38  5.027714e+05   -7.69e+03    1.00e+02     1    5.68e+00
  38  4.946279e+05    4.58e+02    1.00e+03     1    5.70e+00
  39  5.002727e+05   -5.64e+03    1.00e+02     1    5.69e+00
  39  4.938496e+05    7.78e+02    1.00e+03     1    5.70e+00
  40  4.971068e+05   -3.26e+03    1.00e+02     1    5.46e+00
  40  4.925861e+05    1.26e+03    1.00e+03     1    5.48e+00
  41  4.937221e+05   -1.14e+03    1.00e+02     1    5.51e+00
  41  4.909866e+05    1.60e+03    1.00e+03     1    5.48e+00
  42  4.902277e+05    7.59e+02    1.00e+02     1    5.43e+00
  43  4.999892e+05   -9.76e+03    1.00e+01     1    5.42e+00
  43  4.930051e+05   -2.78e+03    1.00e+02     1    5.40e+00
  43  4.898945e+05    3.33e+02    1.00e+03     1    5.49e+00
  44  4.894022e+05    4.92e+02    1.00e+02     1    5.47e+00
  45  5.024996e+05   -1.31e+04    1.00e+01     1    5.41e+00
  45  4.933290e+05   -3.93e+03    1.00e+02     1    5.50e+00
  45  4.890489e+05    3.53e+02    1.00e+03     1    5.45e+00
  46  4.918769e+05   -2.83e+03    1.00e+02     1    5.39e+00
  46  4.881174e+05    9.31e+02    1.00e+03     1    5.38e+00
  47  4.900691e+05   -1.95e+03    1.00e+02     1    5.37e+00
  47  4.867277e+05    1.39e+03    1.00e+03     1    5.35e+00
  48  4.880367e+05   -1.31e+03    1.00e+02     1    5.33e+00
  48  4.852013e+05    1.53e+03    1.00e+03     1    5.41e+00
  49  4.859741e+05   -7.73e+02    1.00e+02     1    5.40e+00
  49  4.837396e+05    1.46e+03    1.00e+03     1    5.39e+00
  50  4.839654e+05   -2.26e+02    1.00e+02     1    5.39e+00
  50  4.823926e+05    1.35e+03    1.00e+03     1    5.44e+00
  51  4.819875e+05    4.05e+02    1.00e+02     1    5.41e+00
  52  4.853964e+05   -3.41e+03    1.00e+01     1    5.40e+00
  52  4.833603e+05   -1.37e+03    1.00e+02     1    5.37e+00
  52  4.815871e+05    4.00e+02    1.00e+03     1    5.41e+00
  53  4.814714e+05    1.16e+02    1.00e+02     1    5.38e+00
  54  4.861351e+05   -4.66e+03    1.00e+01     1    5.43e+00
  54  4.834690e+05   -2.00e+03    1.00e+02     1    5.37e+00
  54  4.811267e+05    3.45e+02    1.00e+03     1    5.45e+00
  55  4.828885e+05   -1.76e+03    1.00e+02     1    5.43e+00
  55  4.805213e+05    6.05e+02    1.00e+03     1    5.40e+00
  56  4.820502e+05   -1.53e+03    1.00e+02     1    5.47e+00
  56  4.797643e+05    7.57e+02    1.00e+03     1    5.47e+00
  57  4.810372e+05   -1.27e+03    1.00e+02     1    5.43e+00
  57  4.790132e+05    7.51e+02    1.00e+03     1    5.40e+00
  58  4.799655e+05   -9.52e+02    1.00e+02     1    5.39e+00
  58  4.783170e+05    6.96e+02    1.00e+03     1    5.41e+00
  59  4.788932e+05   -5.76e+02    1.00e+02     1    5.41e+00
  59  4.776653e+05    6.52e+02    1.00e+03     1    5.47e+00
  60  4.778218e+05   -1.57e+02    1.00e+02     1    5.38e+00
  60  4.770226e+05    6.43e+02    1.00e+03     1    5.37e+00
  61  4.767512e+05    2.71e+02    1.00e+02     1    5.33e+00
  62  4.766186e+05    1.33e+02    1.00e+01     1    5.38e+00
  63  4.629299e+05    1.37e+04    1.00e+00     1    5.43e+00
  64  4.523087e+05    1.06e+04    1.00e-01     1    5.38e+00
  65  4.446401e+05    7.67e+03    1.00e-02     1    5.40e+00
  66  4.370652e+05    7.57e+03    1.00e-03     1    5.37e+00
  67  4.304256e+05    6.64e+03    1.00e-04     1    5.45e+00
  68  4.247536e+05    5.67e+03    1.00e-05     1    5.42e+00
  69  4.194897e+05    5.26e+03    1.00e-06     1    5.45e+00
  70  4.141983e+05    5.29e+03    1.00e-07     1    5.43e+00
  71  4.086196e+05    5.58e+03    1.00e-08     1    5.38e+00
  72  4.036683e+05    4.95e+03    1.00e-09     1    5.37e+00
  73  4.027534e+05    9.15e+02    1.00e-10     1    5.42e+00
  74  4.129347e+05   -1.02e+04    1.00e-11     1    5.41e+00
  74  4.129345e+05   -1.02e+04    1.00e-10     1    5.44e+00
  74  4.129344e+05   -1.02e+04    1.00e-09     1    5.38e+00
  74  4.129344e+05   -1.02e+04    1.00e-08     1    5.36e+00
  74  4.129344e+05   -1.02e+04    1.00e-07     1    5.35e+00
  74  4.129344e+05   -1.02e+04    1.00e-06     1    5.44e+00
  74  4.129344e+05   -1.02e+04    1.00e-05     1    5.34e+00
  74  4.129343e+05   -1.02e+04    1.00e-04     1    5.40e+00
  74  4.129332e+05   -1.02e+04    1.00e-03     1    5.42e+00
  74  4.129226e+05   -1.02e+04    1.00e-02     1    5.43e+00
  74  4.128411e+05   -1.01e+04    1.00e-01     1    5.51e+00
  74  4.124533e+05   -9.70e+03    1.00e+00     1    5.42e+00
  74  4.058698e+05   -3.12e+03    1.00e+01     1    5.54e+00
  74  3.917636e+05    1.10e+04    1.00e+02     1    5.43e+00
  75  3.993693e+05   -7.61e+03    1.00e+01     1    5.55e+00
  75  3.858182e+05    5.95e+03    1.00e+02     1    5.51e+00
  76  3.883550e+05   -2.54e+03    1.00e+01     1    5.48e+00
  76  3.784807e+05    7.34e+03    1.00e+02     1    5.39e+00
  77  3.817095e+05   -3.23e+03    1.00e+01     1    5.43e+00
  77  3.745536e+05    3.93e+03    1.00e+02     1    5.45e+00
  78  3.769601e+05   -2.41e+03    1.00e+01     1    5.40e+00
  78  3.715777e+05    2.98e+03    1.00e+02     1    5.39e+00
  79  3.743281e+05   -2.75e+03    1.00e+01     1    5.36e+00
  79  3.697628e+05    1.81e+03    1.00e+02     1    5.42e+00
  80  3.735284e+05   -3.77e+03    1.00e+01     1    5.38e+00
  80  3.690534e+05    7.09e+02    1.00e+02     1    5.37e+00
  81  3.734054e+05   -4.35e+03    1.00e+01     1    5.33e+00
  81  3.687725e+05    2.81e+02    1.00e+02     1    5.37e+00
  82  3.723330e+05   -3.56e+03    1.00e+01     1    5.35e+00
  82  3.680587e+05    7.14e+02    1.00e+02     1    5.41e+00
  83  3.704709e+05   -2.41e+03    1.00e+01     1    5.31e+00
  83  3.668392e+05    1.22e+03    1.00e+02     1    5.37e+00
  84  3.689353e+05   -2.10e+03    1.00e+01     1    5.33e+00
  84  3.655955e+05    1.24e+03    1.00e+02     1    5.34e+00
  85  3.682202e+05   -2.62e+03    1.00e+01     1    5.25e+00
  85  3.648261e+05    7.69e+02    1.00e+02     1    5.36e+00
  86  3.684900e+05   -3.66e+03    1.00e+01     1    5.43e+00
  86  3.647523e+05    7.38e+01    1.00e+02     1    5.40e+00
  87  3.691990e+05   -4.45e+03    1.00e+01     1    5.42e+00
  87  3.649882e+05   -2.36e+02    1.00e+02     1    5.43e+00
  87  3.639194e+05    8.33e+02    1.00e+03     1    5.69e+00
  88  3.630786e+05    8.41e+02    1.00e+02     1    5.68e+00
  89  3.647445e+05   -1.67e+03    1.00e+01     1    5.69e+00
  89  3.625287e+05    5.50e+02    1.00e+02     1    5.59e+00
  90  3.639259e+05   -1.40e+03    1.00e+01     1    5.48e+00
  90  3.618951e+05    6.34e+02    1.00e+02     1    5.49e+00
  91  3.636436e+05   -1.75e+03    1.00e+01     1    5.41e+00
  91  3.614211e+05    4.74e+02    1.00e+02     1    5.41e+00
  92  3.640619e+05   -2.64e+03    1.00e+01     1    5.39e+00
  92  3.614092e+05    1.19e+01    1.00e+02     1    5.37e+00
  93  3.652317e+05   -3.82e+03    1.00e+01     1    5.34e+00
  93  3.618845e+05   -4.75e+02    1.00e+02     1    5.38e+00
  93  3.605473e+05    8.62e+02    1.00e+03     1    5.52e+00
  94  3.603165e+05    2.31e+02    1.00e+02     1    5.46e+00
  95  3.625165e+05   -2.20e+03    1.00e+01     1    5.45e+00
