Initial error before optimization: 95280764.18454051
Initial error: 9.52808e+07, values: 8000
  95  3.603589e+05   -4.24e+01    1.00e+02     1    5.42e+00
  95  3.599807e+05    3.36e+02    1.00e+03     1    5.44e+00
  96  3.589431e+05    1.04e+03    1.00e+02     1    5.47e+00
  97  3.595702e+05   -6.27e+02    1.00e+01     1    5.51e+00
  97  3.584839e+05    4.59e+02    1.00e+02     1    5.44e+00
  98  3.596143e+05   -1.13e+03    1.00e+01     1    5.44e+00
  98  3.583160e+05    1.68e+02    1.00e+02     1    5.50e+00
  99  3.603467e+05   -2.03e+03    1.00e+01     1    5.48e+00
  99  3.585567e+05   -2.41e+02    1.00e+02     1    5.41e+00
  99  3.575695e+05    7.47e+02    1.00e+03     1    5.35e+00
iterations: 100 >? 100
Terminating because reached maximum iterations
Optimization Runtime: 1123.5207 seconds
Error after optimizing:
357569.48744917515
