Initial error before optimization: 14930.357856355507
Initial error: 14930.4, values: 10000
iter      cost      cost_change    lambda  success iter_time
  44  5.158192e+00    3.06e-02    1.00e-04     1    4.80e-02
  45  7.786235e+00   -2.63e+00    1.00e-05     1    5.33e-02
  45  5.128652e+00    2.95e-02    1.00e-04     1    5.34e-02
  46  7.489190e+00   -2.36e+00    1.00e-05     1    5.30e-02
  46  5.100170e+00    2.85e-02    1.00e-04     1    5.27e-02
  47  7.222065e+00   -2.12e+00    1.00e-05     1    5.43e-02
  47  5.072709e+00    2.75e-02    1.00e-04     1    5.55e-02
  48  6.982106e+00   -1.91e+00    1.00e-05     1    4.89e-02
  48  5.046230e+00    2.65e-02    1.00e-04     1    5.23e-02
  49  6.766723e+00   -1.72e+00    1.00e-05     1    5.26e-02
  49  5.020693e+00    2.55e-02    1.00e-04     1    5.08e-02
  50  6.573495e+00   -1.55e+00    1.00e-05     1    4.89e-02
  50  4.996055e+00    2.46e-02    1.00e-04     1    5.42e-02
  51  6.400162e+00   -1.40e+00    1.00e-05     1    5.17e-02
  51  4.972275e+00    2.38e-02    1.00e-04     1    6.27e-02
  52  6.244637e+00   -1.27e+00    1.00e-05     1    5.43e-02
  52  4.949311e+00    2.30e-02    1.00e-04     1    5.39e-02
  53  6.104998e+00   -1.16e+00    1.00e-05     1    5.26e-02
  53  4.927120e+00    2.22e-02    1.00e-04     1    5.26e-02
  54  5.979494e+00   -1.05e+00    1.00e-05     1    5.03e-02
  54  4.905660e+00    2.15e-02    1.00e-04     1    5.44e-02
  55  5.866536e+00   -9.61e-01    1.00e-05     1    5.28e-02
  55  4.884889e+00    2.08e-02    1.00e-04     1    5.06e-02
  56  5.764693e+00   -8.80e-01    1.00e-05     1    5.02e-02
  56  4.864768e+00    2.01e-02    1.00e-04     1    5.20e-02
  57  5.672683e+00   -8.08e-01    1.00e-05     1    4.72e-02
  57  4.845258e+00    1.95e-02    1.00e-04     1    5.10e-02
  58  5.589364e+00   -7.44e-01    1.00e-05     1    4.72e-02
  58  4.826321e+00    1.89e-02    1.00e-04     1    5.42e-02
  59  5.513723e+00   -6.87e-01    1.00e-05     1    4.72e-02
  59  4.807922e+00    1.84e-02    1.00e-04     1    5.08e-02
  60  5.444863e+00   -6.37e-01    1.00e-05     1    5.30e-02
  60  4.790027e+00    1.79e-02    1.00e-04     1    5.61e-02
  61  5.381996e+00   -5.92e-01    1.00e-05     1    4.79e-02
  61  4.772603e+00    1.74e-02    1.00e-04     1    4.85e-02
  62  5.324425e+00   -5.52e-01    1.00e-05     1    4.76e-02
  62  4.755620e+00    1.70e-02    1.00e-04     1    4.96e-02
  63  5.271543e+00   -5.16e-01    1.00e-05     1    4.91e-02
  63  4.739050e+00    1.66e-02    1.00e-04     1    4.93e-02
  64  5.222813e+00   -4.84e-01    1.00e-05     1    5.23e-02
  64  4.722865e+00    1.62e-02    1.00e-04     1    5.40e-02
  65  5.177767e+00   -4.55e-01    1.00e-05     1    5.27e-02
  65  4.707041e+00    1.58e-02    1.00e-04     1    5.50e-02
  66  5.135992e+00   -4.29e-01    1.00e-05     1    5.45e-02
  66  4.691552e+00    1.55e-02    1.00e-04     1    4.93e-02
  67  5.097127e+00   -4.06e-01    1.00e-05     1    5.31e-02
  67  4.676378e+00    1.52e-02    1.00e-04     1    5.30e-02
  68  5.060855e+00   -3.84e-01    1.00e-05     1    5.26e-02
  68  4.661498e+00    1.49e-02    1.00e-04     1    5.44e-02
  69  5.026897e+00   -3.65e-01    1.00e-05     1    5.47e-02
  69  4.646892e+00    1.46e-02    1.00e-04     1    5.73e-02
  70  4.995005e+00   -3.48e-01    1.00e-05     1    5.37e-02
  70  4.632541e+00    1.44e-02    1.00e-04     1    5.39e-02
  71  4.964964e+00   -3.32e-01    1.00e-05     1    5.42e-02
  71  4.618431e+00    1.41e-02    1.00e-04     1    5.56e-02
  72  4.936580e+00   -3.18e-01    1.00e-05     1    4.86e-02
  72  4.604543e+00    1.39e-02    1.00e-04     1    4.77e-02
  73  4.909683e+00   -3.05e-01    1.00e-05     1    4.89e-02
  73  4.590865e+00    1.37e-02    1.00e-04     1    4.94e-02
  74  4.884123e+00   -2.93e-01    1.00e-05     1    4.86e-02
  74  4.577382e+00    1.35e-02    1.00e-04     1    5.74e-02
  75  4.859764e+00   -2.82e-01    1.00e-05     1    5.40e-02
  75  4.564082e+00    1.33e-02    1.00e-04     1    5.03e-02
  76  4.836488e+00   -2.72e-01    1.00e-05     1    4.63e-02
  76  4.550954e+00    1.31e-02    1.00e-04     1    4.87e-02
  77  4.814187e+00   -2.63e-01    1.00e-05     1    5.40e-02
  77  4.537986e+00    1.30e-02    1.00e-04     1    4.95e-02
  78  4.792766e+00   -2.55e-01    1.00e-05     1    4.70e-02
  78  4.525168e+00    1.28e-02    1.00e-04     1    4.99e-02
  79  4.772138e+00   -2.47e-01    1.00e-05     1    5.03e-02
  79  4.512491e+00    1.27e-02    1.00e-04     1    5.40e-02
  80  4.752228e+00   -2.40e-01    1.00e-05     1    5.10e-02
  80  4.499947e+00    1.25e-02    1.00e-04     1    5.02e-02
  81  4.732965e+00   -2.33e-01    1.00e-05     1    5.45e-02
  81  4.487528e+00    1.24e-02    1.00e-04     1    4.95e-02
  82  4.714289e+00   -2.27e-01    1.00e-05     1    4.73e-02
  82  4.475227e+00    1.23e-02    1.00e-04     1    4.78e-02
  83  4.696142e+00   -2.21e-01    1.00e-05     1    4.68e-02
  83  4.463037e+00    1.22e-02    1.00e-04     1    4.62e-02
  84  4.678474e+00   -2.15e-01    1.00e-05     1    4.73e-02
  84  4.450951e+00    1.21e-02    1.00e-04     1    5.25e-02
  85  4.661239e+00   -2.10e-01    1.00e-05     1    5.03e-02
  85  4.438966e+00    1.20e-02    1.00e-04     1    4.92e-02
  86  4.644397e+00   -2.05e-01    1.00e-05     1    4.78e-02
  86  4.427074e+00    1.19e-02    1.00e-04     1    5.12e-02
  87  4.627909e+00   -2.01e-01    1.00e-05     1    4.82e-02
  87  4.415273e+00    1.18e-02    1.00e-04     1    4.61e-02
  88  4.611742e+00   -1.96e-01    1.00e-05     1    4.72e-02
  88  4.403558e+00    1.17e-02    1.00e-04     1    4.81e-02
  89  4.595866e+00   -1.92e-01    1.00e-05     1    4.67e-02
  89  4.391926e+00    1.16e-02    1.00e-04     1    4.85e-02
  90  4.580251e+00   -1.88e-01    1.00e-05     1    5.25e-02
  90  4.380372e+00    1.16e-02    1.00e-04     1    5.03e-02
  91  4.564874e+00   -1.85e-01    1.00e-05     1    4.87e-02
  91  4.368895e+00    1.15e-02    1.00e-04     1    5.18e-02
  92  4.549711e+00   -1.81e-01    1.00e-05     1    5.03e-02
  92  4.357492e+00    1.14e-02    1.00e-04     1    4.99e-02
  93  4.534741e+00   -1.77e-01    1.00e-05     1    5.05e-02
  93  4.346160e+00    1.13e-02    1.00e-04     1    4.95e-02
  94  4.519947e+00   -1.74e-01    1.00e-05     1    5.14e-02
  94  4.334898e+00    1.13e-02    1.00e-04     1    5.38e-02
  95  4.505311e+00   -1.70e-01    1.00e-05     1    4.93e-02
  95  4.323704e+00    1.12e-02    1.00e-04     1    4.87e-02
  96  4.490818e+00   -1.67e-01    1.00e-05     1    4.83e-02
  96  4.312577e+00    1.11e-02    1.00e-04     1    5.09e-02
  97  4.476454e+00   -1.64e-01    1.00e-05     1    5.03e-02
  97  4.301516e+00    1.11e-02    1.00e-04     1    5.06e-02
  98  4.462209e+00   -1.61e-01    1.00e-05     1    5.51e-02
  98  4.290519e+00    1.10e-02    1.00e-04     1    5.12e-02
  99  4.448070e+00   -1.58e-01    1.00e-05     1    4.92e-02
  99  4.279587e+00    1.09e-02    1.00e-04     1    4.95e-02
iterations: 100 >? 100
Terminating because reached maximum iterations
Optimization Runtime: 11.8062 seconds
Error after optimizing:
4.27958733823528
