Initial error before optimization: 2471694.3100011465
Initial error: 2.47169e+06, values: 1228
iter      cost      cost_change    lambda  success iter_time
  38  3.575173e+05    5.74e+03    1.00e+04     1    7.41e-03
  39  6.097674e+05   -2.52e+05    1.00e+03     1    6.59e-03
  39  3.521536e+05    5.36e+03    1.00e+04     1    8.03e-03
  40  5.758142e+05   -2.24e+05    1.00e+03     1    6.83e-03
  40  3.471216e+05    5.03e+03    1.00e+04     1    6.42e-03
  41  5.469577e+05   -2.00e+05    1.00e+03     1    6.65e-03
  41  3.423862e+05    4.74e+03    1.00e+04     1    7.48e-03
  42  5.225378e+05   -1.80e+05    1.00e+03     1    7.00e-03
  42  3.379168e+05    4.47e+03    1.00e+04     1    7.09e-03
  43  5.019795e+05   -1.64e+05    1.00e+03     1    6.83e-03
  43  3.336866e+05    4.23e+03    1.00e+04     1    7.25e-03
  44  4.847817e+05   -1.51e+05    1.00e+03     1    7.50e-03
  44  3.296718e+05    4.01e+03    1.00e+04     1    8.25e-03
  45  4.705070e+05   -1.41e+05    1.00e+03     1    6.84e-03
  45  3.258514e+05    3.82e+03    1.00e+04     1    7.03e-03
  46  4.587737e+05   -1.33e+05    1.00e+03     1    6.29e-03
  46  3.222071e+05    3.64e+03    1.00e+04     1    7.56e-03
  47  4.492480e+05   -1.27e+05    1.00e+03     1    7.62e-03
  47  3.187225e+05    3.48e+03    1.00e+04     1    7.01e-03
  48  4.416374e+05   -1.23e+05    1.00e+03     1    7.51e-03
  48  3.153830e+05    3.34e+03    1.00e+04     1    7.90e-03
  49  4.356860e+05   -1.20e+05    1.00e+03     1    7.21e-03
  49  3.121757e+05    3.21e+03    1.00e+04     1    7.06e-03
  50  4.311686e+05   -1.19e+05    1.00e+03     1    8.85e-03
  50  3.090890e+05    3.09e+03    1.00e+04     1    7.25e-03
  51  4.278876e+05   -1.19e+05    1.00e+03     1    6.48e-03
  51  3.061124e+05    2.98e+03    1.00e+04     1    6.94e-03
  52  4.256688e+05   -1.20e+05    1.00e+03     1    7.03e-03
  52  3.032368e+05    2.88e+03    1.00e+04     1    6.85e-03
  53  4.243586e+05   -1.21e+05    1.00e+03     1    7.69e-03
  53  3.004536e+05    2.78e+03    1.00e+04     1    8.06e-03
  54  4.238217e+05   -1.23e+05    1.00e+03     1    8.80e-03
  54  2.977553e+05    2.70e+03    1.00e+04     1    6.55e-03
  55  4.239384e+05   -1.26e+05    1.00e+03     1    7.52e-03
  55  2.951349e+05    2.62e+03    1.00e+04     1    7.24e-03
  56  4.246029e+05   -1.29e+05    1.00e+03     1    6.93e-03
  56  2.925862e+05    2.55e+03    1.00e+04     1    6.65e-03
  57  4.257217e+05   -1.33e+05    1.00e+03     1    7.31e-03
  57  2.901035e+05    2.48e+03    1.00e+04     1    6.62e-03
  58  4.272121e+05   -1.37e+05    1.00e+03     1    8.82e-03
  58  2.876816e+05    2.42e+03    1.00e+04     1    6.98e-03
  59  4.290011e+05   -1.41e+05    1.00e+03     1    5.88e-03
  59  2.853160e+05    2.37e+03    1.00e+04     1    5.75e-03
  60  4.310241e+05   -1.46e+05    1.00e+03     1    6.19e-03
  60  2.830023e+05    2.31e+03    1.00e+04     1    6.03e-03
  61  4.332244e+05   -1.50e+05    1.00e+03     1    6.55e-03
  61  2.807369e+05    2.27e+03    1.00e+04     1    6.56e-03
  62  4.355518e+05   -1.55e+05    1.00e+03     1    6.43e-03
  62  2.785163e+05    2.22e+03    1.00e+04     1    6.21e-03
  63  4.379623e+05   -1.59e+05    1.00e+03     1    6.02e-03
  63  2.763378e+05    2.18e+03    1.00e+04     1    6.74e-03
  64  4.404175e+05   -1.64e+05    1.00e+03     1    6.64e-03
  64  2.741987e+05    2.14e+03    1.00e+04     1    7.03e-03
  65  4.428837e+05   -1.69e+05    1.00e+03     1    6.22e-03
  65  2.720969e+05    2.10e+03    1.00e+04     1    6.50e-03
  66  4.453315e+05   -1.73e+05    1.00e+03     1    6.15e-03
  66  2.700306e+05    2.07e+03    1.00e+04     1    6.73e-03
  67  4.477354e+05   -1.78e+05    1.00e+03     1    6.25e-03
  67  2.679984e+05    2.03e+03    1.00e+04     1    6.05e-03
  68  4.500733e+05   -1.82e+05    1.00e+03     1    6.64e-03
  68  2.659991e+05    2.00e+03    1.00e+04     1    5.85e-03
  69  4.523261e+05   -1.86e+05    1.00e+03     1    6.82e-03
  69  2.640319e+05    1.97e+03    1.00e+04     1    6.38e-03
  70  4.544773e+05   -1.90e+05    1.00e+03     1    6.28e-03
  70  2.620960e+05    1.94e+03    1.00e+04     1    5.50e-03
  71  4.565129e+05   -1.94e+05    1.00e+03     1    1.04e-02
  71  2.601911e+05    1.90e+03    1.00e+04     1    6.64e-03
  72  4.584206e+05   -1.98e+05    1.00e+03     1    7.14e-03
